experiment,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,ap_mean,ap_std
NO_RF,0.9293270586646434,0.008068349312051613,0.9353625046487288,0.016085910100734555,0.9228503153056437,0.01749243136412286,0.9288550361288843,0.008151629377365596,0.9805037589144499,0.0034854216435468034,0.9816465879899458,0.0036718139105216137
NO_CLAIM,0.9295274534960856,0.011026351387241888,0.9451654111798267,0.016648463250197358,0.9124913519574397,0.02597957192109291,0.9282021749393448,0.012015320250431541,0.9814443175996223,0.0033827561327650184,0.9824639319251286,0.0032405964445837774
FULL,0.927931345406013,0.009840376967669092,0.9333146101825062,0.019936702296353807,0.9224483304307718,0.02292965214073875,0.9274996830866373,0.010093717828809669,0.979968347776123,0.004690566790362211,0.9807729702714164,0.005065159639566942
NO_META,0.8752995992103371,0.010816756406759019,0.8835259016051591,0.026847807806541876,0.8660265127116284,0.0224194600381618,0.8741703986675462,0.010043472192848754,0.9481893017824607,0.010167620966830961,0.9494625398354115,0.010651686609690049
